	bor	ber	eul	han	lep	loe	sco	tok	pen	new
bor		0.0364792	0.0331575	0.150812	0.0663066	0.0376219	0.0685088	0.276535	0.12339	0.0778865
ber			0.0698206	0.151042	0.101546	0.0853405	0.128373	0.117704	0.127559	0.163993
eul				0.0966948	0.0418793	0.0627404	0.114057	0.0384148	0.0676386	0.147394
han					0.139128	0.112285	0.162744	0.187404	0.177953	0.198143
lep						0.0176627	0.113295	0.102203	0.114053	0.140897
loe							0.11979	0.0666298	0.0911482	0.150615
sco								0.0993964	0.119245	0.178942
tok									0.159798	0.120043
pen										0.15699
